0.16	0.08	
0.16	0.09	
0.17	0.01	
0.17	0.02	
0.17	0.03	
0.17	0.04	
0.17	0.05	
0.17	0.06	
0.17	0.07	
0.17	0.08	
0.17	0.09	
0.18	0.01	
0.18	0.02	
0.18	0.03	
0.18	0.04	
0.18	0.05	
0.18	0.06	
0.18	0.07	
0.18	0.08	
0.18	0.09	
0.19	0.01	
0.19	0.02	
0.19	0.03	
0.19	0.04	
0.19	0.05	
0.19	0.06	
0.19	0.07	
0.19	0.08	
0.19	0.09	
0	4	60
0	60	42
42	60	61
42	61	43
43	61	62
43	62	44
44	62	63
44	63	45
45	63	64
45	64	46
46	64	65
46	65	47
47	65	66
47	66	48
48	66	67
48	67	49
49	67	68
49	68	50
50	68	23
50	23	2
4	5	69
4	69	60
60	69	70
60	70	61
61	70	71
61	71	62
62	71	72
62	72	63
63	72	73
63	73	64
64	73	74
64	74	65
65	74	75
65	75	66
66	75	76
66	76	67
67	76	77
67	77	68
68	77	24
68	24	23
5	6	78
5	78	69
69	78	79
69	79	70
70	79	80
70	80	71
71	80	81
71	81	72
72	81	82
72	82	73
73	82	83
73	83	74
74	83	84
74	84	75
75	84	85
75	85	76
76	85	86
76	86	77
77	86	25
77	25	24
6	7	87
6	87	78
78	87	88
78	88	79
79	88	89
79	89	80
80	89	90
80	90	81
81	90	91
81	91	82
82	91	92
82	92	83
83	92	93
83	93	84
84	93	94
84	94	85
85	94	95
85	95	86
86	95	26
86	26	25
7	8	96
7	96	87
87	96	97
87	97	88
88	97	98
88	98	89
89	98	99
89	99	90
90	99	100
90	100	91
91	100	101
91	101	92
92	101	102
92	102	93
93	102	103
93	103	94
94	103	104
94	104	95
95	104	27
95	27	26
8	9	105
8	105	96
96	105	106
96	106	97
97	106	107
97	107	98
98	107	108
98	108	99
99	108	109
99	109	100
100	109	110
100	110	101
101	110	111
101	111	102
102	111	112
102	112	103
103	112	113
103	113	104
104	113	28
104	28	27
9	10	114
9	114	105
105	114	115
105	115	106
106	115	116
106	116	107
107	116	117
107	117	108
108	117	118
108	118	109
109	118	119
109	119	110
110	119	120
110	120	111
111	120	121
111	121	112
112	121	122
112	122	113
113	122	29
113	29	28
10	11	123
10	123	114
114	123	124
114	124	115
115	124	125
115	125	116
116	125	126
116	126	117
117	126	127
117	127	118
118	127	128
118	128	119
119	128	129
119	129	120
120	129	130
120	130	121
121	130	131
121	131	122
122	131	30
122	30	29
11	12	132
11	132	123
123	132	133
123	133	124
124	133	134
124	134	125
125	134	135
125	135	126
126	135	136
126	136	127
127	136	137
127	137	128
128	137	138
128	138	129
129	138	139
129	139	130
130	139	140
130	140	131
131	140	31
131	31	30
12	13	141
12	141	132
132	141	142
132	142	133
133	142	143
133	143	134
134	143	144
134	144	135
135	144	145
135	145	136
136	145	146
136	146	137
137	146	147
137	147	138
138	147	148
138	148	139
139	148	149
139	149	140
140	149	32
140	32	31
13	14	150
13	150	141
141	150	151
141	151	142
142	151	152
142	152	143
143	152	153
143	153	144
144	153	154
144	154	145
145	154	155
145	155	146
146	155	156
146	156	147
147	156	157
147	157	148
148	157	158
148	158	149
149	158	33
149	33	32
14	15	159
14	159	150
150	159	160
150	160	151
151	160	161
151	161	152
152	161	162
152	162	153
153	162	163
153	163	154
154	163	164
154	164	155
155	164	165
155	165	156
156	165	166
156	166	157
157	166	167
157	167	158
158	167	34
158	34	33
15	16	168
15	168	159
159	168	169
159	169	160
160	169	170
160	170	161
161	170	171
161	171	162
162	171	172
162	172	163
163	172	173
163	173	164
164	173	174
164	174	165
165	174	175
165	175	166
166	175	176
166	176	167
167	176	35
167	35	34
16	17	177
16	177	168
168	177	178
168	178	169
169	178	179
169	179	170
170	179	180
170	180	171
171	180	181
171	181	172
172	181	182
172	182	173
173	182	183
173	183	174
174	183	184
174	184	175
175	184	185
175	185	176
176	185	36
176	36	35
17	18	186
17	186	177
177	186	187
177	187	178
178	187	188
178	188	179
179	188	189
179	189	180
180	189	190
180	190	181
181	190	191
181	191	182
182	191	192
182	192	183
183	192	193
183	193	184
184	193	194
184	194	185
185	194	37
185	37	36
18	19	195
18	195	186
186	195	196
186	196	187
187	196	197
187	197	188
188	197	198
188	198	189
189	198	199
189	199	190
190	199	200
190	200	191
191	200	201
191	201	192
192	201	202
192	202	193
193	202	203
193	203	194
194	203	38
194	38	37
19	20	204
19	204	195
195	204	205
195	205	196
196	205	206
196	206	197
197	206	207
197	207	198
198	207	208
198	208	199
199	208	209
199	209	200
200	209	210
200	210	201
201	210	211
201	211	202
202	211	212
202	212	203
203	212	39
203	39	38
20	21	213
20	213	204
204	213	214
204	214	205
205	214	215
205	215	206
206	215	216
206	216	207
207	216	217
207	217	208
208	217	218
208	218	209
209	218	219
209	219	210
210	219	220
210	220	211
211	220	221
211	221	212
212	221	40
212	40	39
21	22	222
21	222	213
213	222	223
213	223	214
214	223	224
214	224	215
215	224	225
215	225	216
216	225	226
216	226	217
217	226	227
217	227	218
218	227	228
218	228	219
219	228	229
219	229	220
220	229	230
220	230	221
221	230	41
221	41	40
22	1	51
22	51	222
222	51	52
222	52	223
223	52	53
223	53	224
224	53	54
224	54	225
225	54	55
225	55	226
226	55	56
226	56	227
227	56	57
227	57	228
228	57	58
228	58	229
229	58	59
229	59	230
230	59	3
230	3	41

